Type,Start,End,Duration,Distance,"Average Heart Rate","Max Heart Rate","Average Pace","Average Speed","Average Cadence","Active Energy","Total Energy","Elevation Ascended","Elevation Descended",Weather Temperature,Weather Humidity
"Outdoor Walking","2022-03-10 05:55","2022-03-10 07:30","1:16:28","5.018888985091593","122.15104166666667","162","0:15:14","3.937502726099199","182.87987918208256","277.31400000000184","431.7320000000093","80.29",,"13.999999629126705","57"
"Outdoor Walking","2022-03-10 04:32","2022-03-10 04:50","0:17:47","1.2243146445534077","116.11822660098522","152","0:14:32","4.127023126882265","181.72957779896655","80.21699999999998","125.65099999999995","25.66",,"11.99999968210858","70"
"Outdoor Walking","2022-03-10 02:12","2022-03-10 03:26","1:05:55","4.2730819673669584","125.83737517831669","155","0:15:25","3.889244442907403","175.2330984719509","212.33600000000126","336.6530000000057","17.67",,"8.999999761581478","81"
"Outdoor Walking","2022-03-09 06:20","2022-03-09 07:20","1:00:53","2.43730661986192","98.83383685800604","117","0:24:59","2.401373858767882","117.04125060928304","137.92800000000187","242.62700000000444","8.33",,"12.999999655617671","57"
"Outdoor Walking","2022-03-08 10:19","2022-03-08 10:57","0:37:47","2.337541589946078","128.77564102564102","182","0:16:10","3.7110920855257628","183.2071326507296","136.07700000000006","206.24900000000002","59.69",,"10.999999708599546","61"
"Outdoor Walking","2022-03-08 08:54","2022-03-08 09:44","0:50:24","3.1960502462378413","106.28476821192054","144","0:15:46","3.8044353922671865","190.6658416696785","154.25500000000073","264.21500000000356","14.9",,"10.999999708599546","57"
"Outdoor Walking","2022-03-08 02:42","2022-03-08 03:46","0:55:33","2.7337920075681574","110.93069306930693","155","0:20:19","2.952503417773039","148.70113103599803","157.61300000000188","277.764000000006","18.92",,"8.999999761581478","66"
"Outdoor Walking","2022-03-07 05:29","2022-03-07 06:01","0:32:16","2.190825528648832","118.16309012875537","148","0:14:43","4.0724653871126995","207.09791301625654","117.14299999999996","182.1459999999999","46.52",,"7.999999788072387","52"
"Outdoor Walking","2022-03-07 02:45","2022-03-07 03:48","0:27:21","1.1382757634066514","89.77126654064273","126","0:24:02","2.496425091028921","130.84324819940846","76.51300000000047","196.79800000000188","7.61",,"5.9999998410543185","81"
"Outdoor Walking","2022-03-06 03:38","2022-03-06 04:09","0:30:22","1.5335470080587836","100.61467889908256","122","0:19:48","3.0291230838594836","144.15184921887152","70.92899999999989","134.16099999999983","9.44",,"9.999999735090512","50"
"Outdoor Walking","2022-03-05 15:42","2022-03-05 15:58","0:15:42","1.0483666343755267","112.74444444444444","139","0:14:59","4.003910724637983","200.4190378627054","54.99799999999995","96.97399999999992","6.92",,,
"Outdoor Walking","2022-03-05 13:51","2022-03-05 14:29","0:37:42","2.2978143367142185","113.62230215827338","126","0:16:24","3.656703285127401","171.41860718381963","109.60200000000017","164.19600000000014","2.8000000000000003",,"7.999999788072387","51"
"Outdoor Walking","2022-03-01 13:21","2022-03-01 13:31","0:10:27","0.5277121149534039","116.03809523809524","130","0:19:48","3.0281618660563105","160.82932224299586","30.169000000000015","64.93899999999998",,,"14.99999960263574","59"
"Outdoor Walking","2022-02-26 12:37","2022-02-26 13:07","0:30:18","2.169523538464622","142.33519553072625","163","0:13:58","4.293884892569096","196.15370674054319","149.4310000000002","193.21600000000018","15.19",,"2.9999999205271592","47"
"Cardio Dance","2022-02-23 08:30","2022-02-23 08:46","0:16:00",,"162.91034482758621","180",,,,"123.81000000000006","150.33200000000005",,,"-10.99999970859949","44"
"Yoga","2022-02-21 19:20","2022-02-21 19:50","0:29:23",,"121.90675241157557","171",,,,"138.87700000000012","197.7870000000001",,,"-6.999999814563296","47"
"Outdoor Walking","2022-02-20 09:38","2022-02-20 10:51","1:13:00","5.503300749478136","114.86859688195992","136","0:13:15","4.522698555380381","212.8134831653541","266.55700000000047","402.5720000000058","19.54",,"3.9999998940362502","73"
"Outdoor Walking","2022-02-15 12:12","2022-02-15 12:47","0:34:56","2.194451130185707","104.29032258064517","124","0:15:55","3.768966893970988","192.6228186687339","88.60600000000001","157.64799999999997",,,"2.9999999205271592","80"
"Outdoor Walking","2022-02-15 10:20","2022-02-15 10:30","0:10:07","0.7554681921794864","106.16666666666667","118","0:13:24","4.474280431806053","184.35086806606512","48.914","83.79499999999999",,,"0.999999973509091","90"
"Outdoor Walking","2022-02-15 09:39","2022-02-15 09:50","0:10:14","0.8656073230921708","112.16666666666667","118","0:11:49","5.071488927967182","208.58882632794908","38.095000000000006","73.86299999999997",,,"0.999999973509091","92"
"Outdoor Walking","2022-02-15 07:48","2022-02-15 08:17","0:29:07","2.548923865780933","109.61802575107296","120","0:11:25","5.252154333491398","217.91444065538178","117.39900000000027","175.68300000000022","11.3",,"0.999999973509091","92"
"Traditional Strength Training","2022-02-15 06:52","2022-02-15 07:33","0:40:39",,"124.81069958847736","157",,,,"242.48000000000135","315.67100000000113",,,"0.999999973509091","94"
"Yoga","2022-02-14 06:43","2022-02-14 07:13","0:30:34",,"114.78151260504201","158",,,,"154.872","225.40399999999997",,,"0.999999973509091","77"
"Outdoor Walking","2022-02-13 16:27","2022-02-13 16:58","0:30:34","2.6463089972660527","122.20435967302453","136","0:11:33","5.192524885834391","218.20110634797604","148.06700000000012","211.68700000000007","18.23",,"7.999999788072387","44"
"Cardio Dance","2022-02-13 07:24","2022-02-13 07:42","0:17:10",,"157.95408163265307","175",,,,"138.51399999999992","167.5829999999999",,,"-3.9999998940361365","90"
"Cardio Dance","2022-02-12 21:15","2022-02-12 21:32","0:17:03",,"154.6780487804878","182",,,,"130.793","155.17199999999997",,,"-0.9999999735090341","68"
"Yoga","2022-02-10 19:53","2022-02-10 20:23","0:29:41",,"90.09142857142857","125",,,,"96.35600000000011","159.48800000000006",,,"0.999999973509091","89"
